Date,delay
2012-12-25,33.27135181868709
2012-12-20,25.894130040381576
2012-08-09,24.273503790021497
2012-07-17,23.36439555376375
2012-12-26,22.885562444641277
2013-03-17,22.762950637825845
2012-07-12,22.08510757194747
2012-08-08,21.98577339454741
2012-07-25,21.19287365394373
2013-03-22,21.131526898734176
2013-01-29,19.33475372853741
2012-07-18,18.685585384872454
2012-12-19,18.527695716395865
2012-06-30,16.919571045576408
2013-03-23,16.71235877334563
2012-06-21,16.519510807736065
2013-03-07,16.34211405658276
2012-12-09,16.335837761896034
2012-08-04,16.30505038804587
2012-12-28,16.15425115617218
2012-07-19,16.013813847267865
2012-08-15,15.41884460570327
2012-09-17,15.285994965309756
2012-07-14,14.599558165222952
2012-12-24,14.125009711755109
2012-12-27,13.96380037488285
2013-03-24,13.694301369863014
2012-07-08,13.671992011982027
2012-07-26,13.570567748355353
2013-01-24,13.318865264888993
2012-06-24,12.906638543516873
2012-07-23,12.555412803038767
2012-06-28,12.52010693995767
2012-05-28,12.514729512587039
2013-02-21,12.18750356633381
2013-02-10,11.548019565736102
2012-07-31,11.331611684993891
2012-10-21,11.176269418038489
2012-12-21,11.01769500960965
2012-07-11,10.914542230104189
2013-02-09,10.826544943820224
2012-10-18,10.794325011558021
2012-07-15,10.720985603543744
2012-12-18,10.65699506510494
2013-02-03,10.649105191660269
2012-09-04,10.266436192406271
2012-07-09,10.192654386652483
2012-11-11,10.17772882731436
2013-02-20,10.141075694889576
2012-07-30,10.093239186033582
2013-02-25,9.861710177828225
2012-06-11,9.69851032614829
2012-12-16,9.613397602274132
2012-08-03,9.545303514376997
2012-09-03,9.527753303964758
2012-07-27,9.491365979381444
2012-05-20,9.407451991974778
2012-07-07,9.324714785300694
2012-05-05,9.159575787645746
2012-10-24,9.116000460776409
2013-01-30,9.055744830827068
2012-06-13,8.980940772341958
2012-05-30,8.968395601865177
2013-02-28,8.965257219460426
2012-12-22,8.934984322006784
2013-02-26,8.93359010270775
2012-04-14,8.837714216015124
2013-03-18,8.793814432989691
2012-10-13,8.657723428849547
2012-12-29,8.591188918814929
2012-12-15,8.567239185750637
2012-06-12,8.555187514035481
2012-10-07,8.533760952980929
2012-05-23,8.322310305775764
2012-08-14,8.002644438056914
2012-08-02,7.982094798703796
2012-08-10,7.93559756488305
2012-07-13,7.808786851697896
2012-09-12,7.799147514544093
2012-07-22,7.706776859504132
2012-06-14,7.682421318126988
2012-08-26,7.415460886608636
2012-08-25,7.2710027100271
2013-01-12,7.2019626464070905
2012-11-20,7.154387772625794
2013-01-15,6.956779557403106
2012-12-31,6.894576316138443
2012-05-21,6.724744913180977
2013-02-18,6.703037249283668
2013-03-09,6.642126321806231
2012-10-10,6.622173888157518
2012-05-29,6.5898121730860675
2012-05-02,6.547150139017609
2012-04-19,6.475823925191014
2012-06-06,6.457686529794692
2012-08-05,6.429815376136677
2013-01-23,6.407165548888105
2012-08-16,6.388356627592426
2012-05-31,6.191631221979538
2012-08-17,6.152249375173563
2012-08-13,6.057366589327146
2012-10-02,6.019952210274791
2013-01-01,5.918716875871688
2012-06-03,5.911036293083771
2013-01-26,5.841744306418219
2013-01-28,5.766957518629387
2012-07-10,5.690596114462833
2012-12-08,5.6618686544146
2012-10-03,5.580571297727403
2012-06-29,5.558196300102775
2012-06-20,5.542011247105524
2013-01-27,5.511065672359875
2012-05-03,5.3321387283237
2012-10-14,5.263407304669441
2012-09-05,5.248736503560763
2012-06-05,5.234132162771385
2013-02-22,5.183196952595937
2012-10-17,5.114793440374836
2012-07-29,5.106355027642454
2012-10-11,5.074703081071777
2013-02-06,4.999648238259952
2012-07-16,4.917683096630465
2012-06-17,4.911087750359632
2012-07-20,4.890287539936102
2012-05-06,4.82123547682043
2012-08-12,4.759157303370786
2012-07-28,4.6420128528804225
2012-06-10,4.63518837041558
2013-01-02,4.627668029064487
2013-03-04,4.626352912562325
2012-10-25,4.604172637129593
2012-09-07,4.490025887010812
2013-03-11,4.462328190743338
2012-08-18,4.432107580625967
2012-06-23,4.4193751791344225
2012-06-22,4.408452510741999
2012-10-09,4.3030913182518065
2012-07-02,4.284984491881044
2012-08-19,4.267616785431512
2012-08-21,4.248257187301953
2012-09-26,4.218553368354211
2013-03-10,4.182300980870319
2012-09-27,4.137966685812751
2012-09-13,4.1359616591544475
2012-06-09,4.100498146431882
2012-10-04,4.079889807162535
2012-08-01,4.045319709953857
2012-11-10,3.9664392402729116
2013-03-21,3.9100840786161837
2012-06-25,3.9064203850005565
2012-12-17,3.79890560875513
2013-01-31,3.7956690405882694
2012-09-29,3.7941247728649303
2012-09-16,3.7080495896629997
2013-03-05,3.5986545738482794
2012-09-30,3.5726920631250363
2013-02-24,3.569461827284105
2012-08-11,3.542624296435272
2012-08-30,3.5368541250356835
2012-10-27,3.4188181296615032
2012-09-06,3.3898968953401303
2012-04-02,3.3712278060104146
2012-05-22,3.289662051161699
2013-03-08,3.282144076476613
2012-12-30,3.2491113322906298
2012-07-21,3.2214461556077176
2012-05-24,3.1789711701526286
2013-02-01,3.072845156369184
2012-11-25,3.0102442868400314
2013-03-30,2.940694115608939
2012-08-20,2.877784887441103
2013-03-15,2.8432148417228853
2012-08-07,2.762674463507475
2013-02-07,2.735563289507605
2012-07-06,2.731267641775725
2012-05-10,2.7309406789347355
2012-09-15,2.7232164597029462
2012-07-24,2.722764631253792
2012-06-02,2.6936596484913924
2012-04-21,2.6925411179219516
2012-11-26,2.6884089632357533
2012-04-25,2.6622709368042474
2012-12-23,2.5681172097091625
2013-01-13,2.535188119974174
